 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
44,6,2,5,9,46,0.297,1,1,0.505
45,7,3,5,9,124,0.611,3,0,1.266
46,1,0,2,0,6,0.216,0,0,0.216
47,1,0,2,0,1,0.063,0,0,0.063
48,1,0,2,0,3,0.127,0,0,0.127
49,1,0,2,0,3,0.116,0,0,0.116
50,4,1,4,6,24,0.270,0,1,0.441
51,1,0,2,0,7,0.242,0,0,0.242
52,1,0,2,0,0,0.026,0,0,0.026
53,5,2,4,7,71,0.489,2,0,0.594
54,5,2,4,4,68,0.468,2,0,0.924
55,11,5,7,13,133,0.419,5,0,1.359
56,1,0,2,0,1,0.063,0,0,0.063
57,1,0,2,0,1,0.063,0,0,0.063
58,1,0,2,0,5,0.179,0,0,0.179
59,1,0,2,0,1,0.063,0,0,0.063
60,3,1,3,3,28,0.343,1,0,0.559
61,1,0,2,0,0,0.026,0,0,0.026
62,4,1,4,7,77,0.639,0,1,0.852
63,1,0,2,0,0,0.026,0,0,0.026
64,38,18,21,55,589,0.531,17,1,1.374
65,1,0,2,0,3,0.127,0,0,0.127
66,23,10,14,35,495,0.724,8,2,2.009
67,4,1,4,6,115,0.948,0,1,2.267
68,7,3,5,9,106,0.502,3,0,1.315
69,1,0,2,0,5,0.190,0,0,0.190
70,5,2,4,7,49,0.347,2,0,0.633
71,9,4,6,14,142,0.553,4,0,1.961
72,5,2,4,6,60,0.441,2,0,0.939
73,1,0,2,0,13,0.465,0,0,0.465
74,3,1,3,4,62,0.692,1,0,1.171
75,1,0,2,0,21,0.697,0,0,0.697
76,1,0,2,0,0,0.026,0,0,0.026
77,1,0,2,0,1,0.063,0,0,0.063
78,1,0,2,0,0,0.026,0,0,0.026
79,1,0,2,0,0,0.037,0,0,0.037
80,1,0,2,0,1,0.052,0,0,0.052
81,1,0,2,0,12,0.417,0,0,0.417
82,1,0,2,0,9,0.306,0,0,0.306
83,3,1,3,3,35,0.404,1,0,0.812
84,1,0,2,0,22,0.690,0,0,0.690
85,9,4,6,9,136,0.511,4,0,1.190
86,30,14,16,45,371,0.433,13,0,1.271
87,1,0,2,0,4,0.153,0,0,0.153
88,1,0,2,0,0,0.037,0,0,0.037
89,20,9,12,31,292,0.490,8,1,1.339
90,1,0,2,0,0,0.037,0,0,0.037
91,1,0,2,0,10,0.332,0,0,0.332
92,1,0,2,0,2,0.079,0,0,0.079
93,13,6,8,17,287,0.716,6,0,1.584
94,1,0,2,0,3,0.127,0,0,0.127
95,9,4,6,9,153,0.556,4,0,0.928
96,5,2,4,7,43,0.304,2,0,0.579
97,1,0,2,0,4,0.153,0,0,0.153
98,1,0,2,0,29,0.896,0,0,0.896
99,1,0,2,0,0,0.037,0,0,0.037
100,13,6,8,20,291,0.760,6,0,2.102
101,1,0,2,0,5,0.190,0,0,0.190
102,3,1,3,4,50,0.573,1,0,1.055
103,1,0,2,0,0,0.026,0,0,0.026
104,3,1,3,4,31,0.378,1,0,0.548
105,17,8,10,24,305,0.608,8,0,1.614
106,1,0,2,0,0,0.026,0,0,0.026
107,1,0,2,0,2,0.090,0,0,0.090
108,1,0,2,0,0,0.026,0,0,0.026
109,1,0,2,0,0,0.037,0,0,0.037
110,1,0,2,0,0,0.026,0,0,0.026
111,1,0,2,0,3,0.148,0,0,0.148
112,9,4,6,15,105,0.409,4,0,0.760
113,1,0,2,0,9,0.327,0,0,0.327
114,9,4,6,15,161,0.584,4,0,1.504
115,1,0,2,0,3,0.116,0,0,0.116
116,1,0,2,0,1,0.052,0,0,0.052
117,1,0,2,0,2,0.090,0,0,0.090
118,3,1,3,3,15,0.200,1,0,0.347
119,1,0,2,0,9,0.306,0,0,0.306
120,1,0,2,0,11,0.358,0,0,0.358
121,3,1,3,3,61,0.642,1,0,0.743
122,16,7,10,29,289,0.600,6,1,1.480
123,1,0,2,0,0,0.037,0,0,0.037
124,7,3,4,9,40,0.208,2,1,0.448
125,6,2,5,6,86,0.514,1,1,0.747
126,1,0,2,0,0,0.026,0,0,0.026
127,1,0,2,0,0,0.037,0,0,0.037
128,11,5,7,13,219,0.664,5,0,1.570
129,1,0,2,0,3,0.116,0,0,0.116
130,5,2,4,8,27,0.215,2,0,0.400
131,1,0,2,0,9,0.338,0,0,0.338
132,1,0,2,0,6,0.227,0,0,0.227
133,11,5,7,17,179,0.579,5,0,1.179
134,5,2,4,7,83,0.565,2,0,0.828
135,1,0,2,0,0,0.026,0,0,0.026
136,33,16,18,48,568,0.595,16,0,1.582
137,1,0,2,0,1,0.074,0,0,0.074
138,3,1,3,3,39,0.450,1,0,0.876
139,3,1,3,3,65,0.666,1,0,1.014
140,1,0,2,0,16,0.555,0,0,0.555
141,4,1,4,4,69,0.596,0,1,0.843
142,1,0,2,0,3,0.127,0,0,0.127
143,1,0,2,0,15,0.507,0,0,0.507
144,1,0,2,0,5,0.190,0,0,0.190
145,1,0,2,0,49,1.507,0,0,1.507
146,5,2,4,6,96,0.654,2,0,1.101
147,1,0,2,0,0,0.026,0,0,0.026
148,1,0,2,0,1,0.052,0,0,0.052
149,1,0,2,0,0,0.026,0,0,0.026
150,1,0,2,0,0,0.037,0,0,0.037
151,1,0,2,0,28,0.913,0,0,0.913
152,1,0,2,0,9,0.317,0,0,0.317
153,1,0,2,0,0,0.026,0,0,0.026
154,1,0,2,0,0,0.026,0,0,0.026
155,1,0,2,0,2,0.100,0,0,0.100
156,1,0,2,0,0,0.026,0,0,0.026
157,3,1,3,3,67,0.764,1,0,1.284
158,7,3,5,12,104,0.524,3,0,1.086
159,1,0,2,0,5,0.168,0,0,0.168
160,1,0,2,0,0,0.026,0,0,0.026
161,5,2,4,7,95,0.628,2,0,1.247
162,5,2,4,6,113,0.722,2,0,1.416
163,1,0,2,0,5,0.179,0,0,0.179
164,7,3,5,11,103,0.479,3,0,0.931
165,3,1,3,4,40,0.466,1,0,1.070
166,10,4,7,17,179,0.628,3,1,1.380
167,1,0,2,0,11,0.369,0,0,0.369
168,1,0,2,0,0,0.037,0,0,0.037
169,39,18,22,57,789,0.669,16,2,1.753
170,5,2,4,7,44,0.317,2,0,0.422
171,5,2,4,5,63,0.458,2,0,0.745
172,5,2,4,7,87,0.557,2,0,1.195
173,1,0,2,0,2,0.100,0,0,0.100
174,5,2,4,8,91,0.608,2,0,1.835
175,1,0,2,0,8,0.301,0,0,0.301
176,3,1,3,5,18,0.251,1,0,0.564
177,3,1,3,4,33,0.390,1,0,0.565
178,1,0,2,0,1,0.052,0,0,0.052
179,1,0,2,0,0,0.026,0,0,0.026
180,1,0,2,0,0,0.037,0,0,0.037
181,3,1,3,4,82,0.862,1,0,1.334
182,0,0,1,0,0,0.000,0,0,0.000
183,17,8,10,25,218,0.437,8,0,0.894
184,3,1,3,1,7,0.114,1,0,0.205
185,1,0,2,0,8,0.290,0,0,0.290
186,1,0,2,0,2,0.100,0,0,0.100
187,5,2,4,8,53,0.376,2,0,0.653
188,3,1,3,3,125,1.372,1,0,2.022
189,19,9,11,31,371,0.638,9,0,1.614
190,1,0,2,0,3,0.116,0,0,0.116
191,1,0,2,0,3,0.127,0,0,0.127
192,1,0,2,0,5,0.190,0,0,0.190
193,1,0,2,0,38,1.121,0,0,1.121
194,6,1,6,11,119,0.739,0,0,1.090
195,1,0,2,0,3,0.148,0,0,0.148
196,1,0,2,0,7,0.242,0,0,0.242
197,4,1,4,4,54,0.517,0,1,0.766
198,1,0,2,0,3,0.127,0,0,0.127
199,1,0,2,0,4,0.142,0,0,0.142
200,3,1,3,3,43,0.550,1,0,1.185
201,9,4,6,13,133,0.485,4,0,1.924
202,1,0,2,0,4,0.142,0,0,0.142
203,1,0,2,0,4,0.175,0,0,0.175
204,1,0,2,0,7,0.242,0,0,0.242
205,5,2,4,8,62,0.453,2,0,1.135
206,1,0,2,0,0,0.037,0,0,0.037
207,1,0,2,0,5,0.179,0,0,0.179
208,1,0,2,0,1,0.074,0,0,0.074
209,1,0,2,0,30,0.900,0,0,0.900
210,1,0,2,0,3,0.127,0,0,0.127
211,1,0,2,0,1,0.074,0,0,0.074
212,1,0,2,0,22,0.690,0,0,0.690
213,1,0,2,0,7,0.264,0,0,0.264
214,1,0,2,0,1,0.063,0,0,0.063
215,1,0,2,0,5,0.190,0,0,0.190
216,1,0,2,0,3,0.116,0,0,0.116
217,1,0,2,0,1,0.052,0,0,0.052
218,1,0,2,0,3,0.116,0,0,0.116
